tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
2.07			0.02	Ma				10.1016/S0012-821X(99)00010-2						SB04	16.7		2.8	66.4	55				p	n		100				Extrusive:Igneous	Lava Flow								64.132	Basalt	Iceland	338.605			LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:LP-DC5				i			SB04												74.6	151.6	
								10.1007/BF01637689															p	n						Metamorphic	Slag								50.4	Porcellanite	Czech Republic	13.35			LP-PI-TRM:DE-BFL:LP-DIR			g				Tusimice, c) 3rd level														
	2.5	0		Ma				10.1007/BF01637689						Tusimice, c) 3rd level	12.3		15.1	68.7	16.4				p	n		100				Metamorphic	Slag								50.4	Porcellanite	Czech Republic	13.35			GM-CC:LP-DC4:LP-DIR:LP-PI-TRM:LT-T-Z:DE-BFL:SO-NO				i			Tusimice, c) 3rd level										17.62	20.82	80.42	87.58	
								10.1007/BF01637689															p	n						Metamorphic	Slag								50.6	Porcellanite	Czech Republic	13.78			LP-PI-TRM:DE-BFL:LP-DIR			g				Zelenky-Zabrunsany														
	2.5	0		Ma				10.1007/BF01637689						Zelenky-Zabrunsany, Intensity from PINT not found in paper.	8.9		347.7	64.7	12.5				p	n		100		PINT[1455]		Metamorphic	Slag			0.000047				8	50.6	Porcellanite	Czech Republic	13.78			GM-CC:LP-DC4:LP-DIR:LP-PI-TRM:LT-T-Z:DE-BFL:SO-NO				i			Zelenky-Zabrunsany										11.5	14.31	80.95	262.35	
								10.1016/J.EPSL.2005.04.045																						Archeologic	Pottery								47.3	Not Specified	France	5			LP-PI							3557														
1850			5	Years AD (+/-)				10.1016/J.EPSL.2005.04.045						geomagia50 record. GEOMAGIA50:3557, geomagia50 v 2. 0 record.														GEOMAGIA50[ 3557]:CALS7K.2 [none ]						0.0000455	0.000003	6.6	8	8	47.3		France	5			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			3557				7.27E+22		4.8E+21		8						
								10.1111/J.1475-4754.1967.TB00608.X																						Archeologic	Baked Clay								50.4	Not Specified	Czech Republic	13.7			LP-PI							2465														
-2750			250	Years AD (+/-)				10.1111/J.1475-4754.1967.TB00608.X						geomagia50 record. GEOMAGIA50:2465, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2465]: GEOMAGIA50[ ArcheoIntNB281 ]:CALS7K.2 [none ]						0.0000367	0.0000073	19.9	2	2	50.4		Czech Republic	13.7			LP-PI-TRM			g	i			2465				5.69E+22		1.13E+22		2						
								10.1111/J.1475-4754.1967.TB00608.X																						Archeologic	Baked Clay								50.4	Not Specified	Czech Republic	13.7			LP-PI							2468														
-1000			250	Years AD (+/-)				10.1111/J.1475-4754.1967.TB00608.X						geomagia50 record. GEOMAGIA50:2468, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2468]: GEOMAGIA50[ ArcheoIntNB284 ]:CALS7K.2 [none ]						0.0000615	0.0000062	10.1	3	3	50.4		Czech Republic	13.7			LP-PI-TRM			g	i			2468				9.54E+22		9.6E+21		3						
								10.1111/J.1475-4754.1967.TB00608.X																						Archeologic	Brick								49.9	Not Specified	Czech Republic	14.1			LP-PI							2473														
700			100	Years AD (+/-)				10.1111/J.1475-4754.1967.TB00608.X						geomagia50 record. GEOMAGIA50:2473, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2473]: GEOMAGIA50[ ArcheoIntNB289 ]:CALS7K.2 [none ]						0.0000634	0.0000063	9.9	3	3	49.9		Czech Republic	14.1			LP-PI-TRM			g	i			2473				9.88E+22		9.8E+21		3						
								10.1111/J.1475-4754.1967.TB00608.X																						Archeologic	Hearth:Oven								48.8	Not Specified	Czech Republic	17			LP-PI							2474														
900			100	Years AD (+/-)				10.1111/J.1475-4754.1967.TB00608.X						geomagia50 record. GEOMAGIA50:2474, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2474]: GEOMAGIA50[ ArcheoIntNB290 ]:CALS7K.2 [none ]						0.0000652	0.0000065	10	4	4	48.8		Czech Republic	17			LP-PI-TRM			g	i			2474				1.027E+23		1.02E+22		4						
								10.1038/310305A0																						Archeologic	Not Specified								32.6	Not Specified	Iraq	44.6			LP-PI							2														
-1900			250	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:2, geomagia50 v 2. 0 record.														ARCHEOINTB [ 2]: GEOMAGIA50[ ArcheoIntNB147 ]:CALS7K.2 [none ]						0.0000358	0.0000021	5.9			32.6		Iraq	44.6			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			2				6.77E+22		4E+21								
								10.1038/310305A0																						Archeologic	Not Specified								32.6	Not Specified	Iraq	44.6			LP-PI							3														
-1846			3	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:3, geomagia50 v 2. 0 record.														ARCHEOINTB [ 3]: GEOMAGIA50[ ArcheoIntNB148 ]:CALS7K.2 [none ]						0.0000381	0.0000023	6			32.6		Iraq	44.6			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			3				7.2E+22		4.3E+21								
								10.1038/310305A0																						Archeologic	Not Specified								32	Not Specified	Israel	35			LP-PI							11														
-1525			25	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:11, geomagia50 v 2. 0 record.														ARCHEOINTB [ 11]: GEOMAGIA50[ ArcheoIntNB156 ]:CALS7K.2 [none ]						0.0000469	0.0000032	6.8			32		Israel	35			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			11				8.94E+22		6.1E+21								
								10.1038/310305A0																						Archeologic	Tile								26	Not Specified	Egypt	33			LP-PI							12														
-1498			6	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:12, geomagia50 v 2. 0 record.														ARCHEOINTB [ 12]: GEOMAGIA50[ ArcheoIntNB157 ]:CALS7K.2 [none ]						0.0000471	0.00000255	5.4			26		Egypt	33			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			12				9.7E+22		5.3E+21								
								10.1038/310305A0																						Archeologic	Tile								26	Not Specified	Egypt	33			LP-PI							13														
-1475			75	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:13, geomagia50 v 2. 0 record.														ARCHEOINTB [ 13]: GEOMAGIA50[ ArcheoIntNB158 ]:CALS7K.2 [none ]						0.0000499			1	1	26		Egypt	33			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			13				1.028E+23				1						
								10.1038/310305A0																						Archeologic	Tile								26	Not Specified	Egypt	33			LP-PI							16														
-1298			8	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:16, geomagia50 v 2. 0 record.														ARCHEOINTB [ 16]: GEOMAGIA50[ ArcheoIntNB161 ]:CALS7K.2 [none ]						0.00005165	0.00000276	5.3			26		Egypt	33			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			16				1.064E+23		5.7E+21								
								10.1038/310305A0																						Archeologic	Tile								26	Not Specified	Egypt	33			LP-PI							26														
-975			25	Years AD (+/-)				10.1038/310305A0						geomagia50 record. GEOMAGIA50:26, geomagia50 v 2. 0 record.														ARCHEOINTB [ 26]: GEOMAGIA50[ ArcheoIntNB171 ]:CALS7K.2 [none ]						0.0000584	0.00000026	0.4			26		Egypt	33			DA-AC:DA-CR:LP-PI-ALT-PTRM:LP-PI-TRM			g	i			26				1.203E+23		5E+20								
								10.1111/J.1365-246X.1978.TB04258.X																						Igneous:Archeologic	Lava Flow								36.47	Not Specified	Japan	138.57			LP-PI							7568														
-230			170	Years AD (+/-)				10.1111/J.1365-246X.1978.TB04258.X						geomagia50 record. GEOMAGIA50:7568, geomagia50 v 2. 0 record.														GEOMAGIA50[ 7568]:ARCHEOINTB [ArcheoIntNB3393 ]						0.0000843	0.0000012	1.4	3	3	36.47		Japan	138.57			LP-PI-TRM			g	i			7568				1.519E+23		2.2E+21		3						
								10.1029/JB095IB11P17517																						Igneous:Archeologic	Lava Flow								35.61	Not Specified	Japan	138.94			LP-PI							3539														
-6580			510	Years AD (+/-)				10.1029/JB095IB11P17517						geomagia50 record. GEOMAGIA50:3539, VGPs calculated by MagIC team: geomagia50 v 2. 0 record.	9.7		15.9	39.2	208	5			p	n		0		ARCHEOINTB [ 3539]: GEOMAGIA50[ ArcheoIntNB3489 ]: PINT [ none ]:CALS7K.2 [none ]						0.0000426	0.000003	7	3	3	35.61		Japan	138.94			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g	i			3539				7.76E+22		5.5E+21	7.43E+22	3	5.2E+21	10.2	9.8	70.7	268.8	
								10.1029/96GL00018															p	n						Extrusive : Submarine:Igneous	Chilled Margin								9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				2352-2														
69				Ka				10.1029/96GL00018						2352-2					562				p	n		100				Extrusive : Submarine:Igneous	Chilled Margin			5.32e-05				1	9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:LP-DC3				i			2352-2				8.8e+22										
								10.1029/96GL00018															p	n						Extrusive : Submarine:Igneous	Chilled Margin								9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				2488-6														
69				Ka				10.1029/96GL00018						2488-6																Extrusive : Submarine:Igneous	Chilled Margin			4.562e-05				1	9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:LP-PI-TRM:LP-DC3				i			2488-6				8.26e+22										
								10.1029/96GL00018															p	n						Extrusive : Submarine:Igneous	Chilled Margin								9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				2489-3														
69				Ka				10.1029/96GL00018						2489-3														1571[]		Extrusive : Submarine:Igneous	Chilled Margin			1.69933333333333e-05				1	9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:LP-PI-TRM:LP-DC3				i			2489-3		PINT		3.88e+22										
								10.1029/96GL00018															p	n						Extrusive : Submarine:Igneous	Chilled Margin								9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM			g				2508-6														
69				Ka				10.1029/96GL00018						2508-6																Extrusive : Submarine:Igneous	Chilled Margin			2.762e-05				1	9.55	Basalt	East Pacific Rise	255.8			LP-PI-ALT-PTRM:LP-PI-TRM:LP-DC3				i			2508-6				1.137e+23										
6.1				Ka				10.1016/S0031-9201(01)00291-6				95		31									p	n		100				Igneous:Extrusive	Lava Flow			4.75e-05	2.4e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			31				1.08e+23		5e+21								
9.3				Ka				10.1016/S0031-9201(01)00291-6				133.1		44									p	n		100				Igneous:Extrusive	Lava Flow			4.5e-05	2.3e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			44				1.02e+23		5e+21								
9.9				Ka				10.1016/S0031-9201(01)00291-6				140.1		46									p	n		100				Igneous:Extrusive	Lava Flow			3.13e-05	1.8e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			46				7.1e+22		4e+21								
12.2				Ka				10.1016/S0031-9201(01)00291-6				1616		55									p	n		100				Igneous:Extrusive	Lava Flow			4.36e-05				1	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			55				9.9e+22										
14.9				Ka				10.1016/S0031-9201(01)00291-6				181.9		61									p	n		100				Igneous:Extrusive	Lava Flow			3.64e-05	3.6e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			61				8.3e+22		8e+21								
16.3				Ka				10.1016/S0031-9201(01)00291-6				197.6		65									p	n		100				Igneous:Extrusive	Lava Flow			3.42e-05				1	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			65														
17.4				Ka				10.1016/S0031-9201(01)00291-6				203.7		68									p	n		100				Igneous:Extrusive	Lava Flow							0	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			68														
19.4				Ka				10.1016/S0031-9201(01)00291-6				262.8		76									p	n		100				Igneous:Extrusive	Lava Flow			0.000312	5.3e-06			3	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			76				7.1e+22		1.2e+22								
19.8				Ka				10.1016/S0031-9201(01)00291-6				268.6		78									p	n		100				Igneous:Extrusive	Lava Flow			1.71e-05	5.4e-06			3	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			78				3.9e+22		1.2e+22								
20.2				Ka				10.1016/S0031-9201(01)00291-6				272.2		80									p	n		100				Igneous:Extrusive	Lava Flow			1e-05				1	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			80				2.3e+22										
35.5				Ka				10.1016/S0031-9201(01)00291-6				326.1		99									p	n		100				Igneous:Extrusive	Lava Flow			4.11e-05				1	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			99				9.3e+22										
35				Ka				10.1016/S0031-9201(01)00291-6				329.4		101									p	n		100				Igneous:Extrusive	Lava Flow			3.72e-05	7.9e-06			3	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			101				8.4e+22		1.8e+22								
37.1				Ka				10.1016/S0031-9201(01)00291-6				358		108									p	n		100				Igneous:Extrusive	Lava Flow								19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			108														
37.6				Ka				10.1016/S0031-9201(01)00291-6				368.1		112									p	n		100				Igneous:Extrusive	Lava Flow			2.47e-05	4e-07			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			112				5.6e+22		1e+21								
38.5				Ka				10.1016/S0031-9201(01)00291-6				375.9		117									p	n		100				Igneous:Extrusive	Lava Flow			2.14e-05	4.5e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			117				4.8e+22		1e+22								
38.6				Ka				10.1016/S0031-9201(01)00291-6				377.2		118									p	n		100				Igneous:Extrusive	Lava Flow			2.83e-05	2.5e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			118				6.4e+22		6e+21								
39.1				Ka				10.1016/S0031-9201(01)00291-6				385.3		121									p	n		100				Igneous:Extrusive	Lava Flow			2.12e-05	8e-07			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			121				4.8e+22		2e+21								
40.8				Ka				10.1016/S0031-9201(01)00291-6				403		132									p	n		100				Igneous:Extrusive	Lava Flow			2.26e-05				3	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			132				5.1e+22		5e+21								
50				Ka				10.1016/S0031-9201(01)00291-6				433.1		148									p	n		100				Igneous:Extrusive	Lava Flow							0	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			148														
51.9				Ka				10.1016/S0031-9201(01)00291-6				439		151									p	n		100				Igneous:Extrusive	Lava Flow			1.82e-05	1.7e-06			2	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			151				4.1e+22		4e+21								
58.3				Ka				10.1016/S0031-9201(01)00291-6				469.6		162									p	n		100				Igneous:Extrusive	Lava Flow			1.64e-05	3.7e-06			0	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			162				3.7e+22		8e+21								
66.7				Ka				10.1016/S0031-9201(01)00291-6				515.1		178									p	n		100				Igneous:Extrusive	Lava Flow			2.46e-05	2.2e-06			12	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			178				5.6e+22		5e+21								
70.1				Ka				10.1016/S0031-9201(01)00291-6				533.6		183									p	n		100				Igneous:Extrusive	Lava Flow			3.3e-05				34	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			183				7.5e+22										
71.1				Ka				10.1016/S0031-9201(01)00291-6				538.5		186									p	n		100				Igneous:Extrusive	Lava Flow			1.6e-05				1	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			186				3.6e+22										
74.2				Ka				10.1016/S0031-9201(01)00291-6				555		190									p	n		100				Igneous:Extrusive	Lava Flow			2.38e-05	3.8e-06			4	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			190				5.4e+22		9e+21								
85.2				Ka				10.1016/S0031-9201(01)00291-6				611		199									p	n		100				Igneous:Extrusive	Lava Flow			3.96e-05	1.21e-05			4	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			199				9e+22		2.7e+22								
97.6				Ka				10.1016/S0031-9201(01)00291-6				671		204									p	n		100				Igneous:Extrusive	Lava Flow			3.43e-05	8e-06			0	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			204				7.8e+22		1.8e+22								
98.1				Ka				10.1016/S0031-9201(01)00291-6				673.5		205									p	n		100				Igneous:Extrusive	Lava Flow			1.54e-05				0	19.475	Basalt	Hawaii	205.05			LP-DC4:LP-DIR:LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:GM-C14				i			205				3.5e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								38.14	Not Specified	Japan	140.46										1357														
1				Ma				Otake et al. 1993						1357									p	n		100								3.24e-05	4.9e-06				38.14		Japan	140.46			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1357				5.72e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.24	Not Specified	Germany	6.67										1397														
0.4				Ma				Hradetzky et al. 1994						1397									p	n		100								2.84e-05	3.7e-06				50.24		Germany	6.67			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1397				4.41e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.08	Not Specified	Germany	6.78										1402														
0.4				Ma				Hradetzky et al. 1994						1402									p	n		100								4.41e-05	3.9e-06				50.08		Germany	6.78			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1402				6.86e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.15	Not Specified	Germany	6.98										1405														
0.4				Ma				Hradetzky et al. 1994						1405									p	n		100								4.87e-05	5.3e-06				50.15		Germany	6.98			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1405				7.57e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.28	Not Specified	Germany	6.63										1408														
0.55				Ma				Hradetzky et al. 1994						1408									p	n		100								3.36e-05	1.4e-06				50.28		Germany	6.63			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1408				5.22e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.28	Not Specified	Germany	6.56										1409														
0.55				Ma				Hradetzky et al. 1994						1409									p	n		100								4.13e-05	2.7e-06				50.28		Germany	6.56			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1409				6.41e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.26	Not Specified	Germany	6.66										1417														
0.4				Ma				Hradetzky et al. 1994						1417									p	n		100								5.44e-05	2.9e-06				50.26		Germany	6.66			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1417				8.45e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.43	Not Specified	Germany	7.14										1418														
0.4				Ma				Schnepp 1995						1418									p	n		100								2.91e-05	2.5e-06				50.43		Germany	7.14			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1418				4.51e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								50.37	Not Specified	Germany	7.3										1475														
0.35				Ma				Schnepp 1996						1475									p	n		100								5.11e-05	1.8e-06				50.37		Germany	7.3			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1475				7.93e+22										
								10.1016/S0012-821X(99)00306-4																						Not Specified	Not Specified								64.4	Not Specified	Iceland	338.5										1495														
2.58				Ma				Tanaka et al. 1995						1495									p	n		100								2.66e-05	5e-07				64.4		Iceland	338.5			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM				i			1495				3.71e+22										
3.6			0.06	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1016/0031-9201(95)03110-3						108; Ti-poor TiMa or Magnetite. Tc 550��C to 580��C: VDMc.	1.3		260.8	50.6	209	54			p	t						Extrusive:Igneous	Lava Flow			0.0000078			1		41.5	unknown	Caucasus	43.3			DE-BFL:LP-PI-TRM			g				DG2														
3.6			0.06	Ma				Perrin & Schnepp 2004 : Tauxe & Yamazaki 2007:10.1016/0031-9201(95)03110-3						108; DG2, VDM recalculated by MagIC team. VADM calculated using present site lat.	1.3		260.8	50.6	209				p	n		100				Extrusive:Igneous	Lava Flow			0.0000078				1	41.5	unknown	Caucasus	43.3			DE-BFL:LP-PI-TRM	41.5			a			DG2				1.323E+22	1		1.496E+22	1		1.5	1.5	14	342.9	
								10.1002/2014JB011828																						Extrusive:Igneous	Volcanic Pillow									Basalt	Iceland											isl043														
								10.1002/2014JB011828																						Extrusive:Igneous	Glassy Margin									Basalt	Iceland											isl064														
-850	-800	-900		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Hazor startum 7																Archeologic	Mixed Archeological Objects									Not Specified	Tel Hazor											hz07														
-1050	-1000	-1100		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Hazor startum 11																Archeologic	Mixed Archeological Objects									Not Specified	Tel Hazor											hz11														
-1250	-1250	-1350		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Hazor startum 13																Archeologic	Mixed Archeological Objects									Not Specified	Tel Hazor											hz13														
-2150	-2000	-2300		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Hazor startum 18																Archeologic	Mixed Archeological Objects									Not Specified	Tel Hazor											hz18														
-740	-732	-800		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Megiddo stratum  H-3																Archeologic	Mixed Archeological Objects									Not Specified	Tel Megiddo											mgh03														
								10.1016/J.EPSL.2016.02.038						Tel Megiddo stratum  H-5																Archeologic	Mixed Archeological Objects									Not Specified	Tel Megiddo											mgh05														
-1350	-1300	-1400		Years Cal AD (+/-)				10.1016/J.EPSL.2016.02.038						Tel Megiddo stratum  K-9																Archeologic	Mixed Archeological Objects									Not Specified	Tel Megiddo											mgk09														
	-816	-938		Years AD (+/-)				10.1016/J.EPSL.2009.09.001						Archaeological stratum.																Archeologic	Slag	2.05							30.681	Not Specified	Khirbat en Najas - slag mound	35.437										M3														
	-816	-938		Years AD (+/-)				10.1016/J.EPSL.2009.09.001						Archaeological stratum.																Archeologic	Slag	2.05							30.681	Not Specified	Khirbat en Najas - slag mound	35.437										M4														
								10.1029/GL016I010P01189															p	t						Extrusive:Igneous	Lava Flow								45.835	Basalt	Louchadiere	2.936			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM			g				BO														
33.8			2.7	Ka				10.1029/GL016I010P01189						BO	4.4		117	57.2	237				p	n		100				Extrusive:Igneous	Lava Flow			0.00001526	0.00000058				45.835	Basalt	Louchadiere	2.936			LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:LP-DC5				i			BO												10.9	48.7	
								10.1029/GL016I010P01189															p	t						Extrusive:Igneous	Lava Flow								45.835	Basalt	Louchadiere	2.936			LP-PI-TRM:DE-BFL:LP-PI-ALT-PTRM			g				BP														
41.7			3.9	Ka				10.1029/GL016I010P01189						BP	7.8		109.8	48.6	75				p	n		100				Extrusive:Igneous	Lava Flow								45.835	Basalt	Louchadiere	2.936			LP-PI-ALT-PTRM:LP-PI-TRM:DE-BFL:LP-DC5				i			BP												8.5	58.8	
								10.1016/0012-821X(94)90049-3																						Igneous:Archeologic	Lava Flow								42.8	Not Specified	Shikotsu Caldera	141.32										3581														
-12000			1000	Years AD (+/-)				10.1016/0012-821X(94)90049-3						GEOMAGIA:3581, VGPs calculated by MagIC team: geomagia50 record.	5		20.3	71.8					p	n		100								3.76e-05	1.9e-06	5.1			42.8		Shikotsu Caldera	141.32			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM				i			3581				6.3e+22	1		5.53e+22	1				71	177.3	
								10.1016/0012-821X(94)90049-3																						Igneous:Archeologic	Lava Flow								-38.07	Not Specified	New Zealand	176.02										3585														
-7900			400	Years AD (+/-)				10.1016/0012-821X(94)90049-3						GEOMAGIA:3585, VGPs calculated by MagIC team: geomagia50 record.	10.7		41.5	-47.3					p	n		100								9.69e-05	1.27e-05	13.1			-38.07		New Zealand	176.02			LP-PI-ALT-PTRM:DE-BFL:LP-PI-TRM				i			3585				1.713e+23	1		1.933e+23	1				54.3	263	
								10.1038/2101310A0																						Archeologic	Pottery								29.2	Not Specified	India	78.1			LP-PI							1423														
